Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
TMNT,DreamWorks,33,63,Action,54.15,40.86,95.01,35,271.46,0,2007
Transformers,Paramount,57,89,Action,319.25,389.03,708.27,150,472.18,0,2007
Tyler Perry's Why Did I get Married,Independent,46,47,Romance,55.2,0.66,55.86,15,372.42,0,2007
Vacancy,Sony,55,46,Comedy,19.36,15.94,35.3,19,185.79,0,2007
Waitress,Independent,89,67,Romance,19.07,3.1,22.18,2,1108.97,0,2007
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,18.32,2.26,20.58,35,58.79,0,2007
We Own the Night,Sony,55,63,Drama,28.56,26.26,54.83,21,261.08,0,2007
Wild Hogs,Disney,14,72,Comedy,168.27,85.35,253.63,90,281.81,0,2007
Zodiac,Paramount,89,73,Thriller,33.08,51.71,84.79,65,130.44,0,2007
"10,000 B.C.",Warner Bros.,9,44,Adventure,94.78,175,269.78,105,256.94,0,2008
21,Sony,35,73,Crime,81.16,76.69,157.85,35,451,0,2008
27 Dresses,Fox,40,71,Comedy,76.81,83.5,160.31,30,534.36,0,2008
88 Minutes,Sony,5,51,Drama,17.21,15.37,32.58,30,108.6,0,2008
Appaloosa,Warner Bros.,77,55,Action,20.07,7.52,27.59,20,137.95,0,2008
Australia,Fox,55,69,Adventure,46.69,161.8,208.49,78,267.3,0,2008
Baby Mama,Independent,63,59,Comedy,60.32,3.7,64.02,70,91.46,0,2008
Babylon A.D.,Fox,7,32,Action,22.53,47.68,70.21,45,156.03,0,2008
Bangkok Dangerous,Lionsgate,9,33,Action,15.3,31.3,46.6,45,103.55,0,2008
"Be Kind, Rewind",New Line,65,57,Comedy,11.18,19.4,30.58,20,152.88,0,2008
Bedtime Stories,Disney,25,63,Comedy,110.1,108.25,218.35,80,272.94,0,2008
Beverly Hills Chihuahua,Disney,41,56,Adventure,94.5,50.7,145.2,20,726,0,2008
Body of Lies,Warner Bros.,53,65,Action,39.19,75.7,114.89,67.5,170.21,0,2008
Bolt,Disney,89,76,Animation,109.9,195.93,305.83,150,203.88,0,2008
Burn After Reading,Relativity Media,78,64,Comedy,60.36,103.36,163.72,37,442.47,0,2008
Cadillac Records,Sony,67,64,Biography,8.2,0.68,8.88,12,73.96,0,2008
Changeling,Independent,62,84,Drama,35.73,77.28,113.01,55,205.47,0,2008
City of Ember,Independent,52,48,Adventure,7.84,10.05,17.89,38,47.08,0,2008
Cloverfield,Paramount,77,67,Action,80.05,90.72,170.77,25,683.07,0,2008
College Road Trip,Buena Vista,13,56,Adventure,45.61,5.93,51.54,140,36.81,0,2008
Death Race,Universal,42,69,Action,36.1,39.36,75.46,45,167.68,0,2008
"Definitely, Maybe",Universal,71,72,Comedy,32.01,23.2,55.21,7,788.76,0,2008
Disaster Movie,Lionsgate,2,28,Comedy,14.19,20.62,34.81,20,174.05,0,2008
Doomsday,Relativity Media,48,47,Action,11.01,11.2,22.21,33,67.3,0,2008
Doubt,Independent,78,75,Drama,18.73,17.46,36.19,25,144.76,0,2008
Dr. Seuss' Horton Hears a Who!,Fox,79,75,Animation,154.53,142.6,297.13,85,349.56,0,2008
Drillbit Taylor,Paramount,26,49,Comedy,32.86,16.82,49.68,40,124.21,0,2008
Eagle Eye,Paramount,27,72,Action,101.18,76.62,177.8,80,222.25,0,2008
Expelled: No Intelligence Allowed,Crest,10,42,Documentary,7.72,0,7.72,3.5,220.59,0,2008
Fireproof,Independent,40,51,Drama,33.45,0.02,33.47,0.5,6693.4,0,2008
First Sunday,Sony,13,59,Comedy,37.93,0.87,38.8,13,298.48,0,2008
Fly Me to the Moon,Independent,18,26,Animation,12.42,27.9,40.32,25,161.29,0,2008
Fool's Gold,Warner Bros.,11,53,Adventure,70.23,39.13,109.36,72.5,150.84,0,2008
Forgetting Sarah Marshall,Independent,85,75,Comedy,62.93,42,104.93,30,349.77,0,2008
Four Christmases,Warner Bros.,26,52,Comedy,118.25,43.58,161.83,80,202.29,0,2008
Get Smart,Warner Bros.,51,73,Action,130.32,100.37,230.69,80,288.36,0,2008
Ghost Town,Paramount,85,60,Comedy,13.25,13.71,26.96,20,134.8,0,2008
Gran Torino,Warner Bros.,80,90,Drama,148.1,121.86,269.96,33,818.05,0,2008
Hancock,Sony,40,67,Action,227.95,396.44,624.39,150,416.26,0,2008
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,Adventure,38.11,5.38,43.49,12,362.44,0,2008
Hellboy II: The Golden Army,Universal,87,70,Action,75.79,84.4,160.19,82.5,194.17,0,2008
High School Musical 3: Senior Year,Disney,65,76,Comedy,89.7,162.35,252.04,11,2291.31,0,2008
Igor,Independent,36,42,Animation,19.44,11.22,30.66,30,102.21,0,2008
In Bruges,Focus,81,85,Crime,7.8,25.59,33.39,15,222.63,0,2008
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Action,317.02,469.53,786.56,185,425.17,0,2008
Iron Man,Paramount,94,91,Action,318.31,266.76,585.07,186,314.56,0,2008
Journey to the Center of the Earth,Warner Bros.,61,55,Action,101.7,140.29,241.99,45,537.77,0,2008
Jumper,Fox,16,50,Action,80.17,142.06,222.23,82.5,269.37,0,2008
Kit Kittredge: An American Girl,Warner Bros.,78,26,Drama,17.66,0,17.66,10,176.58,0,2008
Kung Fu Panda,Paramount,88,83,Animation,215.43,416.31,631.74,200,315.87,0,2008
Lakeview Terrace,Sony,46,44,Crime,39.26,5.39,44.65,20,223.27,0,2008
Leatherheads,Universal,52,41,Comedy,31.23,9.93,41.16,58,70.96,0,2008
Mad Money,Independent,22,51,Comedy,20.67,5.74,26.41,22,120.05,0,2008
Madagascar: Escape 2 Africa,Paramount,64,73,Animation,176.93,423.89,600.82,150,400.55,0,2008
Made of Honor,Sony,13,61,Comedy,46.01,59.95,105.96,40,264.91,0,2008
Mamma Mia!,Universal,53,76,Comedy,143.76,465.71,609.47,66,923.45,0,2008
Marley and Me,Fox,63,77,Comedy,106.51,99.56,206.07,55,374.68,0,2008
Max Payne,Fox,16,36,Action,40.66,44.73,85.38,35,243.95,0,2008
Meet Dave,Fox,19,42,Adventure,11.8,38.85,50.65,60,84.42,0,2008
Meet the Spartans,Independent,2,31,Comedy,38.23,46.41,84.65,30,282.16,0,2008
Milk,Universal,94,88,Biography,31.84,18.32,50.16,20,250.8,1,2008
Miracle at St. Anna,Disney,34,68,Action,7.92,1.2,9.12,45,20.26,0,2008
Mirrors,Independent,14,49,Horror,30.69,46.8,77.49,35,221.4,0,2008
Miss Pettigrew Lives for a Day,Independent,78,70,Comedy,12.31,2.86,15.17,60,25.29,0,2008
My Best Friend's Girl,Lionsgate,14,51,Comedy,19.22,22.4,41.62,20,208.11,0,2008
Never Back Down,Summit,23,37,Action,24.85,16.78,41.63,21,198.22,0,2008
Nick and Norah's Infinite Playlist,Sony,73,67,Comedy,31.49,2.04,33.53,10,335.27,0,2008
Nights in Rodanthe,Warner Bros.,31,56,Drama,41.74,37.5,79.24,30,264.12,0,2008
Nim's Island,Independent,51,50,Adventure,48.01,52.07,100.08,37,270.48,0,2008
One Missed Call,Warner Bros.,0,36,Horror,26.89,17.62,44.51,20,222.55,0,2008
Over Her Dead Body,New Line,15,47,Comedy,7.57,13.14,20.71,10,207.1,0,2008
Penelope,Summit,52,74,Comedy,10.01,10.73,20.74,15,138.28,0,2008
Pineapple Express,Sony,68,74,Action,87.34,14.28,101.62,26,390.86,0,2008
Pride & Glory,Warner Bros.,34,54,Crime,15.74,15.41,31.15,30,103.83,0,2008
Prom Night,Independent,8,46,Horror,43.87,13.32,57.19,18,317.72,0,2008
Punisher: War Zone,Lionsgate,27,47,Action,8.05,2.04,10.09,35,28.83,0,2008
Quantum of Solace,MGM,64,62,Action,166.8,417.72,584.52,230,254.14,0,2008
Quarantine,Sony,59,46,Horror,31.69,9.62,41.31,12,344.27,0,2008
Rachel Getting Married,Independent,85,61,Drama,12.79,3.82,16.61,12,138.42,0,2008
Rambo,Lionsgate,36,70,Action,42.75,70.49,113.24,47.5,238.41,0,2008
Religulous,Lionsgate,70,78,Documentary,13.01,0.12,13.14,2.5,525.41,0,2008
Righteous Kill,Overture,19,44,Crime,40.08,38.37,78.45,60,130.75,0,2008
Role Models,Universal,77,75,Comedy,66.69,25.09,91.77,28,327.76,0,2008
Saw V,Independent,13,63,Crime,56.75,57.12,113.86,10.8,1054.29,0,2008
Semi-Pro,Warner Bros.,21,41,Comedy,33.48,10.41,43.88,2.6,1687.87,0,2008
Seven Pounds,Sony,27,77,Drama,60.04,98.21,158.25,55,287.72,0,2008
Sex and the City,Warner Bros.,49,81,Comedy,152.65,262.61,415.25,57.5,722.18,0,2008
Sex Drive,Summit,46,61,Adventure,8.4,10.35,18.75,19,98.7,0,2008
Shutter,Fox,7,40,Horror,25.93,21.95,47.88,8,598.48,0,2008
Slumdog Millionaire,Independent,94,90,Crime,141.31,234.48,375.79,15,2505.27,1,2008
Smart People,Independent,50,41,Comedy,9.51,2.14,11.65,7,166.45,0,2008
Space Chimps,Independent*,36,37,Animation,30.11,34.73,64.83,37,175.23,0,2008
Speed Racer,Warner Bros.,38,61,Action,43.95,50,93.95,120,78.29,0,2008
Star Wars: The Clone Wars,Independent,19,46,Animation,35.16,33.12,68.28,8.5,803.32,0,2008
Step Brothers,Sony,54,68,Comedy,100.47,27.64,128.11,65,197.09,0,2008
Step Up 2: The Streets,Disney,26,81,Drama,58.02,92.8,150.82,17.5,861.8,0,2008
Stop-Loss,Paramount,65,27,Drama,10.92,0.26,11.18,25,44.7,0,2008
Street Kings,Fox,37,62,Action,26.42,39.15,65.57,20,327.86,0,2008
Superhero Movie,The Weinstein Company,15,36,Comedy,25.87,45.35,71.22,65,109.57,0,2008
Swing Vote,Disney,36,44,Comedy,16.29,1.34,17.63,20,88.17,0,2008
The Bank Job,Independent,78,74,Thriller,30.06,34.76,64.82,20,324.11,0,2008
The Boy in the Striped Pyjamas,Independent,63,84,Drama,8.7,31.37,40.07,12.5,320.6,0,2008
The Chronicles of Narnia: Prince Caspian,Disney,66,78,Action,141.62,278.04,419.67,200,209.83,0,2008
The Curious Case of Benjamin Button,Warner Bros.,73,81,Fantasy,79.01,206.42,285.43,160,178.39,0,2008
The Dark Knight,Warner Bros.,94,96,Thriller,530.92,468.58,999.49,185,540.27,1,2008
The Day the Earth Stood Still ,Fox,19,34,Thriller,74.3,153.73,228.03,100,228.03,0,2008
The Duchess,Paramount,60,68,Drama,13.85,29.46,43.31,13.5,320.79,0,2008
The Express,Independent,62,73,Biopic,9.79,0.01,9.8,37.5,26.13,0,2008
The Eye,Lionsgate,22,51,Horror,31.42,25.55,56.96,12,474.7,0,2008
The Forbidden Kingdom,Relativity Media,64,65,Action,52.08,75.9,127.98,55,232.69,0,2008
The Happening,Fox,19,29,Thriller,64.51,98.89,163.4,48,340.41,0,2008
The Haunting of Molly Hartley,Independent,3,22,Horror,13.56,1.33,14.89,5,297.8,0,2008
The House Bunny,Sony,39,54,Comedy,48.24,22.2,70.44,25,281.75,0,2008
The Incredible Hulk,Universal,67,75,Action,134.53,128.62,263.15,137.5,191.38,0,2008
The Longshots,Independent,39,39,Comedy,11.51,0.23,11.74,30,39.14,0,2008
The Love Guru,Paramount,14,38,Comedy,32.2,8.63,40.83,62,65.85,0,2008
The Mummy: Tomb of the Dragon Emperor,Universal,14,40,Action,102.28,298.63,400.91,145,276.49,0,2008
The Other Boleyn Girl,Independent,41,65,Drama,26.81,50.9,77.71,40,194.28,0,2008
The Ruins,Paramount,46,32,Horror,17.43,5.3,22.73,25,90.91,0,2008
The Secret Life of Bees,Fox,56,78,Drama,37.43,2.18,39.61,11,360.1,0,2008
The Sisterhood of the Traveling Pants 2,Warner Bros.,65,67,Action,44.09,0.26,44.35,27,164.26,0,2008
The Spiderwick Chronicles,Paramount,79,67,Fantasy,71.2,91.64,162.84,92.5,176.04,0,2008
The Spirit,Lionsgate,14,29,Action,17.75,19.23,36.98,6,616.32,0,2008
The Strangers,Relativity Media,44,48,Horror,52.6,29.79,82.39,9,915.45,0,2008
The Tale of Despereaux,Universal,54,46,Animation,50.87,37.84,88.71,55,161.29,0,2008
The Visitor,Independent,92,83,Drama,9.43,8.65,18.08,4,451.95,0,2008
The Women,Warner Bros.,13,41,Drama,26.9,23.11,50.01,16,312.54,0,2008
The X-Files: I Want to Believe,Fox,32,34,Thriller,20.98,47.39,68.37,35,195.34,0,2008
Traitor,Liberty Starz,55,66,Thriller,23.53,4.13,27.66,22,125.74,0,2008
Transporter 3,Independent,36,58,Action,31.72,77.26,108.98,30,363.26,0,2008
Tropic Thunder,Paramount,83,69,Comedy,110.46,77.58,188.04,90,208.93,0,2008
Twilight,Summit,49,82,Romance,176.82,199.85,376.66,37,1018,0,2008
Tyler Perry's Meet the Browns,Independent,31,36,Drama,41.98,0,41.98,20,209.88,0,2008
Tyler Perry's The Family That Preys,Independent,51,36,Drama,37.11,0,37.11,10,371.05,0,2008
Under the Same Moon,Weinstein Co.,72,82,drama,12.59,10.72,23.31,1.7,1371.19,0,2008
Untraceable,Independent,14,56,Thriller,28.69,23.97,52.66,35,150.45,0,2008
Valkyrie,MGM,58,66,Thriller,83.08,117.2,200.28,75,267.03,0,2008
Vantage Point,Sony,35,61,Action,72.27,78.89,151.16,40,377.89,0,2008
Vicky Cristina Barcelona,The Weinstein Company,82,73,Romance,22.84,73.19,96.03,16,600.16,0,2008
W.,Lionsgate,60,42,Drama,25.53,3.97,29.5,25.1,117.55,0,2008
WALL-E,Disney,96,89,Animation,223.78,297.5,521.28,180,289.6,1,2008
Wanted,Universal,73,72,Action,134.33,206.92,341.25,75,455,0,2008
"Welcome Home, Roscoe Jenkins",Universal,24,64,Comedy,42.19,1.21,43.4,35,124.01,0,2008
What Happens in Vegas,Fox,28,72,Comedy,80.28,139.09,219.37,35,626.76,0,2008
Yes Man,Warner Bros.,43,72,Comedy,97.69,125.55,223.24,70,318.91,0,2008
You Don't Mess with the Zohan,Sony,36,50,Comedy,100.02,99.91,199.93,80,249.91,0,2008
Zack and Miri Make a Porno,The Weinstein Company,64,70,Romance,31.3,10.64,41.94,24,174.75,0,2008
9,Focus,57,58,Animation,31.74,16.67,48.41,30,161.37,0,2009
2012,Sony,39,63,Action,165.6,602.4,768,200,384,0,2009
(500) Days of Summer ,Fox,87,81,Comedy,32.39,28.33,60.72,7.5,809.6,0,2009
12 Rounds ,Fox,30,52,Action,12.23,5.94,18.17,20,90.85,0,2009
17 Again ,Independent,55,70,Comedy,64.2,72.1,136.3,20,681.5,0,2009
A Christmas Carol,Disney,52,72,Animation,137.9,187.43,325.33,200,162.67,0,2009
A Perfect Getaway ,Universal,61,50,Mystery,15.5,7.33,22.83,14,163.07,0,2009
A Serious Man ,Universal,89,64,Drama,9.2,21.48,30.68,7,438.29,0,2009
Adventureland ,Miramax,89,56,Comedy,16.04,1.1,17.14,9.8,174.9,0,2009
Aliens in the Attic ,Fox,30,46,Adventure,25.2,32.68,57.88,45,128.62,0,2009
All About Steve ,Fox,6,35,Comedy,33.86,6.26,40.12,15,267.47,0,2009
Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Animation,219.5,221.3,440.7,75,587.6,0,2009
Avatar ,Fox,83,92,Action,760.5,2023,2783.5,237,1174.47,0,2009
Amelia ,Independent,21,35,Adventure,14.2,5,19.2,40,48,0,2009
An Education,Sony Classics,94,78,Drama,12.57,13.52,26.09,7.5,347.87,0,2009
