Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
Insidious,Sony,67,65,Horror,54.01,43,97.01,1.5,6467.27,0,2011
J.Edgar,Warner Bros,42,84,Drama,37.39,35.8,73.19,35,209.11,0,2011
Jack and Jill,Happy Madison,4,59,Comedy,73.83,51.1,124.93,79,158.14,0,2011
Johnny English Reborn,Relativity Media,38,55,Comedy,8.31,149.63,157.94,45,350.98,0,2011
Just Go With It,Happy Madison,19,63,Romance,103.03,111.92,214.95,80,268.68,0,2011
Killer Elite,Independent,25,48,Action,25.12,27.84,52.96,70,75.66,0,2011
Kung Fu Panda 2,DreamWorks Animation,82,80,Animation,165.25,497.78,663.02,150,442.02,0,2011
Larry Crowne,Universal,34,46,Drama,35.61,16.8,52.41,30,174.69,0,2011
Limitless,Virgin,69,73,Thriller,79.25,82.6,161.85,27,599.44,0,2011
Machine Gun Preacher,Lionsgate,29,71,Action,0.54,0.57,1.1,30,3.68,0,2011
Margin Call,Independent,86,73,Thriller,4.94,3.93,8.87,3.5,253.4,0,2011
Mars Needs Moms,Disney,36,43,Animation,21.39,17.6,38.99,150,25.99,0,2011
Midnight in Paris,Sony,93,84,Romance,56.8,91.86,148.66,17,874.47,1,2011
Mission Impossible 4,Paramount,93,86,Action,208.38,480.4,688.78,145,475.02,0,2011
Moneyball,Columbia,95,89,Drama,75.6,32.5,108.1,50,216.2,0,2011
Monte Carlo,20th Century Fox,38,50,Romance,23.18,16.48,39.66,20,198.32,0,2011
Mr. Popper's Penguins,20th Century Fox,47,54,Comedy,68.22,119.14,187.36,55,340.65,0,2011
My Week with Marilyn,The Weinstein Company,83,84,Drama,5.31,2.95,8.26,10,82.58,0,2011
New Year's Eve,Warner Bros.,8,48,Romance,54.54,87.5,142.04,56,253.64,0,2011
No Strings Attached,Spyglass Entertainment,49,57,Comedy,70.6,77.1,147.7,25,590.8,0,2011
One Day,Independent,37,54,Romance,13.84,41.4,55.24,15,368.27,0,2011
Our Idiot Brother,The Weinstein Company,68,79,Comedy,24.82,0,24.82,5,496.32,0,2011
Paranormal Activity 3,Independent,68,58,Horror,103.66,98.24,201.9,5,4037.94,0,2011
Paul,Relativity,72,70,Comedy,37.41,60.57,97.98,40,244.96,0,2011
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Action,241.07,802.8,1043.87,250,417.55,0,2011
Priest,Sony,17,37,Action,29.14,49.17,78.31,60,130.51,0,2011
Puss In Boots,DreamWorks,83,76,Animation,148.76,373.5,522.26,130,401.74,0,2011
Rango,Paramount,88,69,Animation,123.26,121.9,245.15,135,181.6,0,2011
Real Steel,DreamWorks Pictures,58,81,Action,83.61,186.2,269.81,110,245.28,0,2011
Red Riding Hood,Warner Bros,11,41,Horror,37.66,51.5,89.16,42,212.29,0,2011
Rio,20th Century Fox,71,73,Animation,143.62,341.02,484.63,90,538.48,0,2011
Rise of the Planet of the Apes,20th Century Fox,83,87,Action,176.7,304.52,481.23,93,517.45,0,2011
Sanctum,Relativity Media,30,39,Action,23.2,85.4,108.6,30,362,0,2011
Scream 4,Weinstein Company,58,57,Horror,38.18,58.96,97.14,40,242.84,0,2011
Season Of The Witch,Relativity ,10,32,Action,24.8,66.8,91.6,40,229,0,2011
Shame,Independent,80,80,Drama,3.87,10.09,13.96,6.5,214.77,0,2011
Shark Night 3D,Relativity,16,25,Horror,18.88,19.83,38.7,25,154.81,0,2011
Sherlock Holmes 2,Warner Bros,60,79,Action,186.36,335.6,521.96,125,417.57,0,2011
Something Borrowed,Independent,15,48,Romance,39.05,21.14,60.18,35,171.95,0,2011
Soul Surfer,Sony,46,79,Drama,43.85,0.41,44.27,18,245.93,0,2011
Source Code,Summit Entertainment,92,81,Thriller,54.71,68.57,123.28,32,385.24,0,2011
Spy Kids: All The Time in the World,Weinstein Company,22,40,Action,38.54,35.54,74.08,27,274.37,0,2011
