sex,degree,uni_level,u_loan,guarantee,amount,income,period_m,repayment_m,repayment_T,count,c_borrowing,c_repayment,c_overdue,c_fre,c_over_fre,c_overrate,c_over_frerate,performance
male,bachelor,other,other,Y,-1.650036508,-1.775421987,-2.037334879,-0.415079095,-1.67876141,-0.787555067,-0.16367652,-0.106404389,-0.37018922,-0.15515826,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,business,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.624375392,2.481069564,2.389840613,-0.37018922,2.939423873,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,living,Y,-1.511160215,-1.537300864,-1.401723683,-0.476793657,-1.531531453,-0.338810961,-0.713539351,-0.621609942,-0.37018922,-0.356105152,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,trading,N,-1.251230086,-1.944737573,0.505109906,-0.818821387,-2.216701824,-0.787555067,-0.750475132,-0.660090193,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,trading,N,-1.93806594,-1.794309781,0.505109906,-0.755386097,-1.953198402,-0.787555067,-0.258049766,-0.218453862,-0.37018922,0.769197442,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.583580474,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,-1.511160215,-1.500874403,0.505109906,-0.648866431,-1.529160317,0.721856926,-0.356864038,-0.282385238,-0.37018922,0.528061172,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,N,-1.696328606,-1.627692452,0.505109906,-0.695061353,-1.713055057,-0.624375392,0.154270516,0.188037614,-0.37018922,1.974878793,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,living,N,-1.511160215,-1.570354504,-0.13050129,-0.615576968,-1.533683039,1.007421357,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,other,N,-1.742620704,-1.659396964,0.505109906,-0.706610117,-1.759028742,0.191522982,-0.075536798,-0.035545653,-0.37018922,-0.114968882,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,trading,N,-2.039191028,-1.864801728,0.505109906,-0.780634467,-2.053708228,-0.787555067,-0.038730284,-0.002626088,-0.37018922,-0.114968882,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,study,N,0.109063206,-0.847559085,-1.401723683,0.31788474,0.050213592,-0.298016042,2.682150963,2.561424227,-0.37018922,0.970144334,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,-0.353857771,0.105262688,0.505109906,-0.346845622,-0.326862834,-0.583580474,-0.191937074,-0.166167156,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,N,-0.58531826,-0.156468178,0.505109906,-0.406276911,-0.563449476,-0.420400799,1.502050192,1.433260379,-0.37018922,0.929954956,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,rent,N,1.26636565,1.012551385,0.505109906,0.054050519,1.26904316,0.109933145,-0.725638706,-0.634529836,-0.37018922,-0.235537017,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,N,-1.048239237,-1.18180559,0.505109906,-0.533346036,-1.069291739,0.721856926,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.70596523,5.841171343,5.417206059,-0.37018922,3.01980263,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,study,N,-1.048239237,-1.413181072,-0.766112487,-0.394628908,-1.084352841,0.395497576,-0.448973682,-0.385823141,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,trading,N,-1.675103679,-1.613189324,0.505109906,-0.689766806,-1.691978296,-0.787555067,-0.841562133,-0.699871071,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,living,Y,-1.742620704,-1.519762198,0.505109906,-0.70432681,-1.749939389,-0.624375392,1.935277194,2.533336285,-0.37018922,2.859045117,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,Y,-1.895060582,-1.670189989,0.505109906,-0.743109366,-1.904326663,-0.787555067,3.407994489,4.24621299,-0.37018922,5.993816629,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,N,0.109063206,-0.131509306,-0.766112487,0.05044394,0.096823971,-0.542785555,0.271581404,0.30313543,-0.058471948,-0.235537017,0.012456631,0.249891542,0.081301291,0
male,master,high,shopping,N,-1.048239237,-1.18180559,0.505109906,-0.533346036,-1.069291739,1.170601032,-0.707506909,-0.572010859,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,rent,N,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,0.028343307,0.099145486,0.13399049,-0.37018922,-0.074779503,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,trading,N,3.105990469,0.75250693,0.505109906,0.488137513,2.9970741,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,rent,N,0.109063206,0.2459093,-0.13050129,-0.116665196,0.121391571,2.312858757,3.14176559,2.98299484,-0.37018922,1.532795631,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,business,N,0.109063206,-1.133236976,-2.037334879,0.873878345,0.031617742,-0.70596523,0.269174172,0.283481237,-0.37018922,-0.114968882,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,shopping,N,-1.858350948,-1.868849113,-2.672946075,-0.315012159,-1.882437568,0.92583152,0.312263044,0.322395878,-0.37018922,0.206546145,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,N,-0.122397282,-0.316339866,-0.766112487,-0.036816811,-0.13475694,-0.624375392,0.786783547,1.012368022,-0.37018922,0.32711428,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,N,-1.974081192,-1.819943217,0.505109906,-0.764386826,-1.989028896,0.191522982,-0.678780995,-0.471494284,-0.37018922,1.010333712,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,trading,N,1.914362435,0.854703389,0.505109906,0.205871982,1.873419281,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,-1.511160215,-1.775421987,-2.037334879,-0.315806341,-1.547031654,0.191522982,0.18299643,0.203863595,-0.37018922,0.005599253,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,rent,N,-1.511160215,-1.707291351,-1.401723683,-0.482352932,-1.542596753,0.191522982,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,N,-1.048239237,-1.613189324,-2.672946075,0.868252889,-1.097372132,-0.501990636,1.705469881,1.624952896,-0.37018922,1.653363766,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,shopping,Y,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.461195717,-0.305344111,-0.24029778,-0.37018922,0.005599253,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,-1.133236976,-2.037334879,0.873878345,0.031617742,-0.665170311,-0.748630928,-0.649497201,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,N,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.420400799,2.567247306,2.385318904,-0.37018922,1.010333712,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,other,N,-0.816778749,-1.436119624,-1.401723683,-0.142575385,-0.866296185,0.191522982,-0.20861534,-0.161551456,-0.37018922,2.015068171,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,business,N,-1.048239237,-1.18180559,0.505109906,-0.533346036,-1.069291739,0.191522982,-0.736232824,-0.571337683,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,high,study,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,0.395497576,3.409942106,3.662521328,-0.37018922,1.130901847,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,living,N,-1.742620704,-1.84355296,-2.037334879,-0.484603114,-1.77101615,-0.37960588,0.297900087,0.390104659,-0.37018922,0.08597801,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,trading,N,-1.932510889,-1.790262397,0.505109906,-0.753996278,-1.947665752,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,N,-1.464868117,-1.761930705,-2.037334879,-0.282053605,-1.502243537,1.211395951,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,trading,N,-1.074764609,-1.20001882,0.505109906,-0.53996422,-1.09563769,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,shopping,N,-0.701048504,-0.681953602,0.505109906,-0.442445285,-0.707430099,0.762651845,-0.621329167,-0.538212354,-0.37018922,-0.356105152,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,living,N,-1.048239237,-1.125142207,-0.13050129,-0.474477293,-1.065603526,-0.338810961,0.096818687,0.15673367,-0.37018922,1.171091226,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,trading,N,-1.320691379,-1.370346252,0.505109906,-0.601347873,-1.339996388,-0.787555067,-0.354112096,-0.247448685,-0.37018922,0.769197442,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,N,3.349510049,0.189920481,-1.401723683,1.896056805,3.191441355,0.191522982,-0.833314923,-0.732729669,-0.37018922,-0.597241422,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,N,0.109063206,-0.846547239,-0.766112487,0.032905754,0.050279457,0.313907739,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,Y,0.109063206,-0.131509306,-0.766112487,0.05044394,0.096823971,-0.624375392,-0.305344111,-0.238534822,-0.37018922,-0.39629453,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,N,0.109063206,0.2459093,-0.13050129,-0.116665196,0.121391571,0.27311282,1.130951598,1.127608094,-0.37018922,0.447682415,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,-1.247575589,-2.672946075,2.558669348,0.024175011,-0.216426205,10.92074315,10.89950892,-0.37018922,6.154574142,-0.370365459,-0.461184806,-0.42676589,1
